inningsid,name,overs,maidens,runs,wickets,economy
1,Nisarg Patel,4,0,29,2,7.2
1,Netravalkar,3.5,0,33,3,8.6
1,Ali Khan,3,0,34,0,11.3
1,Yasir Mohammad,4,0,32,2,8
1,Vatsal Vaghela,3,0,16,2,5.3
1,Ritwik Behera,1,0,5,0,5
2,Mark Adair,4,0,25,1,6.2
2,Barry McCarthy,4,0,24,0,6
2,Curtis Campher,4,1,25,4,6.2
2,Simi Singh,4,0,31,0,7.8
2,Benjamin White,3,0,27,1,9
2,Paul Stirling,1,0,4,0,4
1,Nisarg Patel,4,0,29,2,7.2
1,Netravalkar,3.5,0,33,3,8.6
1,Ali Khan,3,0,34,0,11.3
1,Yasir Mohammad,4,0,32,2,8
1,Vatsal Vaghela,3,0,16,2,5.3
1,Ritwik Behera,1,0,5,0,5
2,Mark Adair,4,0,25,1,6.2
2,Barry McCarthy,4,0,24,0,6
2,Curtis Campher,4,1,25,4,6.2
2,Simi Singh,4,0,31,0,7.8
2,Benjamin White,3,0,27,1,9
2,Paul Stirling,1,0,4,0,4
